http://books.google.com/ngrams/graph?content=virus%2Ctoxin%2Cvira%2Cvirion%2Cvenom&year_start=1500&year_end=2019&corpus=26&smoothing=3
year,virus,toxin,vira,virion,venom
1500,0.0,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,5.713222890335601e-07
1515,0.0,0.0,0.0,0.0,5.713222890335601e-07
1516,0.0,0.0,0.0,0.0,5.713222890335601e-07
1517,0.0,0.0,0.0,0.0,5.713222890335601e-07
1518,0.0,0.0,0.0,0.0,5.713222890335601e-07
1519,0.0,0.0,0.0,0.0,5.713222890335601e-07
1520,0.0,0.0,0.0,0.0,1.4650564870472799e-06
1521,0.0,0.0,0.0,0.0,8.937341980137197e-07
1522,0.0,0.0,0.0,0.0,8.937341980137197e-07
1523,0.0,0.0,0.0,0.0,8.937341980137197e-07
1524,0.0,0.0,0.0,0.0,8.937341980137197e-07
1525,0.0,0.0,0.0,0.0,8.937341980137197e-07
1526,6.356494850479066e-07,0.0,0.0,0.0,8.937341980137197e-07
1527,6.356494850479066e-07,0.0,0.0,0.0,0.0
1528,6.356494850479066e-07,0.0,0.0,0.0,0.0
1529,6.356494850479066e-07,0.0,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0,0.0
1532,6.356494850479066e-07,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0,2.679201023576232e-07
1546,0.0,0.0,0.0,0.0,2.679201023576232e-07
1547,0.0,0.0,0.0,0.0,2.679201023576232e-07
1548,0.0,0.0,0.0,0.0,2.679201023576232e-07
1549,0.0,0.0,0.0,0.0,2.679201023576232e-07
1550,0.0,0.0,0.0,0.0,2.679201023576232e-07
1551,0.0,0.0,2.361197143077983e-06,0.0,2.679201023576232e-07
1552,0.0,0.0,2.361197143077983e-06,0.0,0.0
1553,0.0,0.0,2.361197143077983e-06,0.0,0.0
1554,0.0,0.0,2.361197143077983e-06,0.0,0.0
1555,0.0,0.0,2.361197143077983e-06,0.0,0.0
1556,0.0,0.0,2.361197143077983e-06,0.0,0.0
1557,0.0,0.0,2.361197143077983e-06,0.0,0.0
1558,6.820486565369979e-07,0.0,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1560,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1561,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1562,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1563,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1564,6.820486565369979e-07,0.0,0.0,0.0,1.7192232917295769e-06
1565,0.0,0.0,0.0,0.0,1.7192232917295769e-06
1566,0.0,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0,9.336323663384454e-07
1590,0.0,0.0,0.0,0.0,1.4535836661317653e-06
1591,0.0,2.6653346399793267e-07,0.0,0.0,1.4535836661317653e-06
1592,0.0,2.6653346399793267e-07,0.0,0.0,1.4535836661317653e-06
1593,0.0,2.6653346399793267e-07,0.0,0.0,1.4535836661317653e-06
1594,0.0,2.6653346399793267e-07,0.0,0.0,1.95647843221585e-06
1595,0.0,2.6653346399793267e-07,0.0,0.0,2.407275522792978e-06
1596,0.0,2.6653346399793267e-07,0.0,0.0,1.4736431564545325e-06
1597,0.0,2.6653346399793267e-07,0.0,0.0,9.536918566612127e-07
1598,8.84678326786213e-08,0.0,0.0,0.0,9.536918566612127e-07
1599,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,9.536918566612127e-07
1600,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,1.0601979413747488e-06
1601,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,7.526270370103052e-07
1602,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,7.194328190962551e-07
1603,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,7.194328190962551e-07
1604,8.84678326786213e-08,0.0,0.0,1.1791114827376856e-07,7.194328190962551e-07
1605,0.0,0.0,0.0,1.1791114827376856e-07,9.44306602182873e-07
1606,0.0,3.203204284675719e-07,0.0,0.0,1.5849474591180166e-06
1607,0.0,3.203204284675719e-07,0.0,0.0,1.4784413744044805e-06
1608,0.0,3.203204284675719e-07,0.0,0.0,1.2831175126848393e-06
1609,0.0,3.203204284675719e-07,0.0,0.0,1.0541886175425525e-06
1610,0.0,3.203204284675719e-07,0.0,0.0,2.0737747295892665e-06
1611,0.0,3.203204284675719e-07,0.0,0.0,2.176187008119866e-06
1612,0.0,3.203204284675719e-07,0.0,0.0,1.951313225033248e-06
1613,0.0,0.0,0.0,0.0,1.3106723680981043e-06
1614,0.0,0.0,0.0,0.0,1.3106723680981043e-06
1615,3.809432525615973e-07,0.0,0.0,0.0,1.6916156206597016e-06
1616,3.809432525615973e-07,0.0,0.0,0.0,1.5029416431389109e-06
1617,3.809432525615973e-07,0.0,0.0,0.0,6.068968657148486e-07
1618,3.809432525615973e-07,0.0,0.0,0.0,5.044845871842491e-07
1619,3.809432525615973e-07,0.0,0.0,0.0,2.0799675683390106e-06
1620,3.809432525615973e-07,0.0,0.0,0.0,2.1807064821846974e-06
1621,5.593612481139385e-07,0.0,0.0,0.0,2.1807064821846974e-06
1622,1.7841799555234112e-07,0.0,0.0,0.0,1.7997632296231001e-06
1623,1.7841799555234112e-07,0.0,0.0,0.0,1.7997632296231001e-06
1624,9.250789746926915e-07,0.0,0.0,0.0,1.825554087580323e-06
1625,9.250789746926915e-07,0.0,0.0,0.0,1.825554087580323e-06
1626,9.250789746926915e-07,0.0,0.0,0.0,2.500711064255613e-07
1627,9.250789746926915e-07,0.0,0.0,0.0,1.493321925798747e-07
1628,7.466609791403503e-07,6.55116260921724e-08,6.55116260921724e-08,0.0,2.803554447642195e-07
1629,7.466609791403503e-07,6.55116260921724e-08,6.55116260921724e-08,0.0,2.803554447642195e-07
1630,7.466609791403503e-07,6.55116260921724e-08,6.55116260921724e-08,0.0,9.703474331347804e-07
1631,0.0,6.55116260921724e-08,6.55116260921724e-08,0.0,9.9105519828819e-07
1632,0.0,6.55116260921724e-08,6.55116260921724e-08,0.0,1.082681332523602e-06
1633,2.741855951171601e-07,6.55116260921724e-08,6.55116260921724e-08,0.0,1.219774130082182e-06
1634,2.741855951171601e-07,6.55116260921724e-08,6.55116260921724e-08,0.0,1.3431922931366508e-06
1635,2.741855951171601e-07,0.0,0.0,0.0,1.3768084678693931e-06
1636,2.741855951171601e-07,0.0,0.0,8.684440899742185e-08,1.5504972858642368e-06
1637,2.741855951171601e-07,0.0,0.0,8.684440899742185e-08,1.0068255521998383e-06
1638,2.741855951171601e-07,0.0,0.0,8.684440899742185e-08,9.714556686698676e-07
1639,2.741855951171601e-07,0.0,0.0,8.684440899742185e-08,9.576997643177622e-07
1640,0.0,0.0,0.0,8.684440899742185e-08,8.206069667591822e-07
1641,0.0,0.0,0.0,8.684440899742185e-08,9.957992363394754e-07
1642,0.0,0.0,0.0,8.684440899742185e-08,1.047059478358798e-06
1643,0.0,0.0,0.0,0.0,9.636931070287704e-07
1644,9.166146648047808e-08,0.0,0.0,0.0,8.17372852322608e-07
1645,1.407782974638394e-07,0.0,4.9116830983361326e-08,0.0,8.791701020527398e-07
1646,1.407782974638394e-07,0.0,4.9116830983361326e-08,0.0,8.012998721694333e-07
1647,2.4482384982807813e-07,0.0,1.5316238334760003e-07,0.0,1.0093909768979107e-06
1648,2.4482384982807813e-07,0.0,1.5316238334760003e-07,0.0,8.941774873554615e-07
1649,2.4482384982807813e-07,0.0,1.5316238334760003e-07,0.0,7.565055934069928e-07
1650,2.4482384982807813e-07,0.0,1.5316238334760003e-07,0.0,8.857838257167064e-07
1651,2.821626269776191e-07,0.0,1.5316238334760003e-07,0.0,1.0577841505567318e-06
1652,2.330457959942578e-07,2.226855875570826e-07,1.040455523642387e-07,0.0,9.169882235125572e-07
1653,2.330457959942578e-07,2.226855875570826e-07,1.040455523642387e-07,0.0,9.923640017664833e-07
1654,1.7048342978601534e-07,2.226855875570826e-07,0.0,0.0,1.3235543048852248e-06
1655,1.7048342978601534e-07,2.226855875570826e-07,0.0,0.0,1.6049817190832982e-06
1656,1.7048342978601534e-07,2.226855875570826e-07,0.0,0.0,1.6626759377556612e-06
1657,1.7048342978601534e-07,2.226855875570826e-07,0.0,0.0,2.5274481215222167e-06
1658,9.509882050094478e-08,2.226855875570826e-07,0.0,0.0,2.516294695656792e-06
1659,9.509882050094478e-08,0.0,0.0,0.0,2.814462342420094e-06
1660,1.7527362063317143e-07,0.0,0.0,0.0,2.8192613642983943e-06
1661,1.3379043447717516e-07,0.0,0.0,0.0,2.817463228309082e-06
1662,1.3379043447717516e-07,0.0,0.0,0.0,2.9616367831814775e-06
1663,1.3379043447717516e-07,0.0,0.0,0.0,2.8257147895211735e-06
1664,1.3379043447717516e-07,0.0,3.9302981187055204e-08,0.0,1.937856836775609e-06
1665,1.6835803405358873e-07,0.0,3.9302981187055204e-08,0.0,1.8651931717223697e-06
1666,1.6835803405358873e-07,0.0,7.925137879283284e-08,0.0,1.8309413089160183e-06
1667,8.818323392136205e-08,0.0,1.1170369467501067e-07,0.0,2.562074436290069e-06
1668,8.818323392136205e-08,0.0,1.554569105824807e-07,0.0,2.330863667663964e-06
1669,8.818323392136205e-08,0.0,1.554569105824807e-07,0.0,1.751819847787114e-06
1670,8.818323392136205e-08,0.0,1.554569105824807e-07,0.0,2.176960709984347e-06
1671,1.664036192648512e-07,0.0,1.1615392939542549e-07,0.0,2.3324375299742835e-06
1672,1.520221936906247e-07,0.0,1.4075453082438928e-07,0.0,2.441059107484632e-06
1673,1.520221936906247e-07,0.0,1.2554900357437354e-07,0.0,2.492614984004961e-06
1674,1.8455271799666662e-07,0.0,9.30966876921957e-08,0.0,2.201795445395354e-06
1675,1.8455271799666662e-07,0.0,4.9343471784725675e-08,0.0,2.3073449365743466e-06
1676,1.8455271799666662e-07,0.0,4.9343471784725675e-08,0.0,2.449176885680312e-06
1677,2.181389159464483e-07,0.0,4.9343471784725675e-08,0.0,2.1919670091717436e-06
1678,1.3991853060295917e-07,0.0,4.9343471784725675e-08,0.0,2.138753838413062e-06
1679,1.3533203002680239e-07,0.0,2.4742870355761885e-08,0.0,2.1495949502942883e-06
1680,1.5343395887157385e-07,0.0,1.8101928844771464e-08,0.0,2.049980821539066e-06
